15:39:46.692 INFO  : added quantity of item 2 
15:39:47.730 INFO  : removed item 2 
15:40:41.901 INFO  admin: Login 
15:40:46.887 INFO  admin: added quantity of item 2 
15:40:47.406 INFO  admin: removed item 2 
15:43:40.689 INFO  undefined: added quantity of item 2 
15:43:41.941 INFO  undefined: removed item 2 
15:44:02.928 INFO  undefined: added quantity of item 2 
15:44:04.166 INFO  undefined: removed item 2 
15:46:07.878 INFO  admin: Login 
15:46:20.697 INFO  admin: added quantity of item 2 
15:46:21.779 INFO  admin: removed item 2 
15:47:25.192 INFO  admin: added quantity of item 1 
15:47:25.338 INFO  admin: added quantity of item 1 
15:47:25.501 INFO  admin: added quantity of item 1 
15:47:27.458 INFO  admin: removed item 1 
15:53:24.091 INFO  admin: Login 
15:53:25.870 INFO  admin: added item 2 to cart 
15:53:25.874 INFO  admin: added item Adidas to cart 
15:53:41.609 INFO  admin: added item 2 to cart 
15:53:41.610 INFO  admin: added item Adidas to cart 
15:53:41.749 INFO  admin: added item 2 to cart 
15:53:41.750 INFO  admin: added item Adidas to cart 
15:53:41.896 INFO  admin: added item 2 to cart 
15:53:41.897 INFO  admin: added item Adidas to cart 
15:53:51.350 INFO  admin: substracted quantity of item 2 
15:53:51.510 INFO  admin: substracted quantity of item 2 
15:53:52.118 INFO  admin: added quantity of item 2 
15:53:52.297 INFO  admin: added quantity of item 2 
15:53:52.905 INFO  admin: removed item 2 
15:53:52.907 INFO  admin: removed item Adidas to cart 
15:55:43.813 INFO  admin: added item Winter body to cart 
15:55:48.392 INFO  admin: added quantity of Winter body 
15:55:48.682 INFO  admin: added quantity of Winter body 
15:55:48.836 INFO  admin: added quantity of Winter body 
15:55:49.326 INFO  admin: substracted quantity of Winter body 
15:55:49.487 INFO  admin: substracted quantity of Winter body 
15:55:50.142 INFO  admin: removed item Winter body from cart 
20:27:20.433 INFO  admin: Login 
20:30:04.145 INFO  admin: Login 
20:31:25.587 INFO  admin: Login 
20:33:30.161 INFO  admin: Login 
20:35:07.788 INFO  admin: Login 
20:39:19.871 INFO  admin: Login 
20:41:18.325 INFO  admin: Login 
20:41:50.340 INFO  admin: Login 
20:43:18.968 INFO  admin: Login 
20:54:49.226 INFO  admin: Login 
21:05:55.004 INFO  admin: Login 
21:11:18.109 INFO  admin: Login 
21:19:07.469 INFO  admin: Login 
21:24:50.886 INFO  admin: Login 
21:26:46.314 INFO  admin: Login 
21:30:26.392 INFO  admin: Login 
21:31:26.909 INFO  admin: Login 
21:34:36.118 INFO  admin: Login 
21:41:46.279 INFO  admin: Login 
21:59:09.132 INFO  admin: Login 
22:04:18.164 INFO  admin: Login 
22:21:24.979 INFO  admin: Login 
